!!SBtab TableType='Quantity' TableID='MetaboliteConcentrationData' Organism="Escherichia coli"
!Compound:Name	!Compound:Identifiers:kegg.compound	!Organism	!Value	!Unit	!QuantityType
Acetyl-CoA	C00024	E.Coli	0.35	mM	concentration
ADP	C00008	E.Coli	0.823	mM	concentration
AMP	C00020	E.Coli	0.151	mM	concentration
ATP	C00002	E.Coli	2.641	mM	concentration
L-Asparagine	C00152	E.Coli	0.77678826	mM	concentration
Citrate	C00158	E.Coli	12.99	mM	concentration
Dihydroxyacetone phosphate	C00111	E.Coli	0.203	mM	concentration
D-Fructose 1,6-bisphosphate	C00354	E.Coli	1.9	mM	concentration
GTP	C00044	E.Coli	0.7	mM	concentration
D-Glucose 6-phosphate	C00092	E.Coli	0.801	mM	concentration
L-Glutamic acid	C00025	E.Coli	17.363	mM	concentration
Glycerol-3-phosphate	C00093	E.Coli	0.195	mM	concentration
alpha-Ketoglutaric acid	C00026	E.Coli	0.476	mM	concentration
Malate	C00711	E.Coli	1.1845252	mM	concentration
NAD	C00003	E.Coli	1.6155395	mM	concentration
Phosphoenolpyruvate	C00074	E.Coli	0.16522712	mM	concentration
Pyruvate	C00022	E.Coli	0.39	mM	concentration
Uridine diophosphate glucose	C00029	E.Coli	1.299	mM	concentration
