!!SBtab TableType='Enzyme' !Organism='Saccharomyces cerevisiae'
!Enzyme	!Gene
AAD	-
ACC	-
ACL	-
ACN	aco1|aco2
ACR	-
ACT	-
ADH	adh1|adh2|adh3|adh4|adh5|adh6
ALD	fba1
APT	-
CAT	-
CCL	-
CLG	-
CSN	cit1|cit2|cit3
DGK	-
DHY	-
FBP	fbp1
FDH	-
FTL	-
FUM	fum1
FUR	-
GADH	-
GAP	tdh3|tdh1|tdh2
GDH	-
GLH	sol1
HDH	-
HPD	-
HXK	hxk2|hxk1|glk1
ICD	idh1|idh2
ICL	-
ISM	-
KGD	kgd1|kgd2|lpd1
KOR	-
LDH	-
MCE	-
MCL	-
MCM	-
MCT	-
MDH	mdh1|mdh2|mdh3
MGO	-
MGS	-
MLS	-
MQO	-
MSD	-
MTC	-
MTD	-
MTR	-
ODC	-
PCK	pck1
PDH	pda1|pdb1|
PFK	pfk1|pfk2
PFL	-
PGD	gnd2
PGH	eno2|eno1
PGI	pgi1
PGK	pgk1
PGM	gpm1|pgm3|pgm2
PKT	-
POR	-
PPC	-
PPS	-
PRK	-
PYK	cdc19|pyk2
RBC	-
RPE	rpe1
RPI	rki1
SBP	-
SCR	-
SCS	lsc2|lsc1
SCT	-
SDH	sdh1|sdh2|sdh3|sdh4
SSR	-
TAL	tal1|nqm1
TIM	tpi1
TXT	tkl1|tkl2
ZWF	zwf1
