!!SBtab !Organism="Bacillus subtilis"
!Enzyme	!Gene
AAD	-
ACC	-
ACL	gltA
ACN	citB
ACR	-
ACT	-
ADH	-
ALD	fbaA
APT	-
CAT	-
CCL	-
CLG	-
CSN	citZ
DGK	-
DHY	-
FBP	-
FDH	-
FTL	-
FUM	citG
FUR	-
GADH	-
GAP	gapA
GDH	-
GLH	-
HDH	-
HPD	-
HXK	ptsI
ICD	Icd
ICL	-
ISM	-
KGD	odhA|odhB|pdhD
KOR	-
LDH	-
MCE	-
MCL	-
MCM	-
MCT	-
MDH	mdh
MGO	-
MGS	-
MLS	-
MQO	-
MSD	-
MTC	-
MTD	-
MTR	-
ODC	-
PCK	-
PDH	pdhA|pdhB|pdhC|pdhD
PFK	pfkA
PFL	-
PGD	-
PGH	eno
PGI	pgi
PGK	pgk
PGM	pgm
PKT	-
POR	-
PPC	-
PPS	-
PRK	-
PYK	pykA
RBC	-
RPE	-
RPI	-
SBP	-
SCR	-
SCS	sucC|sucD
SCT	-
SDH	sdhA|sdhB|sdhC
SSR	-
TAL	-
TIM	tpiA
TXT	-
ZWF	zwf
PTS	ptsI
