!!SBtab TableName='Reaction' TableType='Reaction'						
!Reaction	!SumFormula	!Reaction:Identifiers:kegg.reaction	!IsReversible	!Gene		
PTS_RPTSsy	D_Glucose + Phosphoenolpyruvate <=> Pyruvate + D_Glucose_6_phosphate	RPTSsy	1	PTS		
PGI_R02740	D_Glucose_6_phosphate <=> D_Fructose_6_phosphate	R02740	1	PGI		
PFK_R04779	ATP + D_Fructose_6_phosphate <=> ADP + D_Fructose_1_6_bisphosphate	R04779	1	PFK		
ALD_R01070	D_Fructose_1_6_bisphosphate <=> Glycerone_phosphate + D_Glyceraldehyde_3_phosphate	R01070	1	ALD		
TIM_R01015	Glycerone_phosphate <=> D_Glyceraldehyde_3_phosphate	R01015	1	TIM		
GAP_R01061	Orthophosphate + NADplus + D_Glyceraldehyde_3_phosphate <=> NADH + _3_Phospho_D_glyceroyl_phosphate	R01061	1	GAP		
PGK_R01512	ADP + _3_Phospho_D_glyceroyl_phosphate <=> ATP + _3_Phospho_D_glycerate	R01512	1	PGK		
PGM_R01518	_3_Phospho_D_glycerate <=> _2_Phospho_D_glycerate	R01518	1	PGM		
PGH_R00658	_2_Phospho_D_glycerate <=> H2O + Phosphoenolpyruvate	R00658	1	PGH		
PYK_R00200	ADP + Phosphoenolpyruvate <=> Pyruvate + ATP	R00200	1	PYK		
PDH_R00209	Pyruvate + NADplus + CoA <=> Acetyl_CoA + NADH + CO2	R00209	1	PDH		
ZWF_R00835	NADPplus + D_Glucose_6_phosphate <=> NADPH + D_Glucono_1_5_lactone_6_phosphate	R00835	1	ZWF		
GLH_R02035	H2O + D_Glucono_1_5_lactone_6_phosphate <=> _6_Phospho_D_gluconate	R02035	1	GLH		
PGD_R01528	_6_Phospho_D_gluconate + NADPplus <=> NADPH + D_Ribulose_5_phosphate + CO2	R01528	1	PGD		
RPI_R01056	D_Ribulose_5_phosphate <=> D_Ribose_5_phosphate	R01056	1	RPI		
RPE_R01529	D_Ribulose_5_phosphate <=> D_Xylulose_5_phosphate	R01529	1	RPE		
TXT_R01641	D_Xylulose_5_phosphate + D_Ribose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate	R01641	1	TXT		
TAL_R08575	D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate <=> D_Erythrose_4_phosphate + D_Fructose_6_phosphate	R08575	1	TAL		
TXT_R01067	D_Erythrose_4_phosphate + D_Xylulose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + D_Fructose_6_phosphate	R01067	1	TXT		
FBP_R00762	H2O + D_Fructose_1_6_bisphosphate <=> Orthophosphate + D_Fructose_6_phosphate	R00762	1	FBP		
CSN_R00351	Acetyl_CoA + H2O + Oxaloacetate <=> CoA + Citrate	R00351	1	CSN		
ACN_R00351	Citrate <=> cis_Aconitate + H2O	R00351	1	ACN		
ACN_R01900	cis_Aconitate + H2O <=> Isocitrate	R01900	1	ACN		
ICD_R00709	NADplus + Isocitrate <=> NADH + _2_Oxoglutarate + CO2	R00709	1	ICD		
KGD_R08549	NADplus + _2_Oxoglutarate + CoA <=> NADH + CO2 + Succinyl_CoA	R08549	1	KGD		
SCS_R00405	Orthophosphate + ADP + Succinyl_CoA <=> ATP + CoA + Succinate	R00405	1	SCS		
SDH_R02164	Ubiquinone + Succinate <=> Fumarate + Ubiquinol	R02164	1	SDH		
FUM_R01082	Fumarate + H2O <=> _S__Malate	R01082	1	FUM		
MDH_R00342	_S__Malate + NADplus <=> NADH + Oxaloacetate	R00342	1	MDH		
!!SBtab TableName='Compound' TableType='Compound'						
!Compound	!Name	!Compound:Identifiers:kegg.compound	!External			
_S__Malate	(S)-Malate	C00149	0			
Acetyl_CoA	Acetyl-CoA	C00024	0			
Fumarate	Fumarate	C00122	0			
cis_Aconitate	cis-Aconitate	C00417	0			
_6_Phospho_D_gluconate	6-Phospho-D-gluconate	C00345	0			
Orthophosphate	Orthophosphate	C00009	1			
Pyruvate	Pyruvate	C00022	0			
NADPplus	NADP+	C00006	1			
NADPH	NADPH	C00005	1			
NADH	NADH	C00004	1			
NADplus	NAD+	C00003	1			
ATP	ATP	C00002	1			
H2O	H2O	C00001	1			
_2_Oxoglutarate	2-Oxoglutarate	C00026	0			
Oxaloacetate	Oxaloacetate	C00036	0			
Ubiquinone	Ubiquinone	C00399	1			
D_Erythrose_4_phosphate	D-Erythrose 4-phosphate	C00279	0			
Ubiquinol	Ubiquinol	C00390	1			
ADP	ADP	C00008	1			
Isocitrate	Isocitrate	C00311	0			
D_Ribulose_5_phosphate	D-Ribulose 5-phosphate	C00199	0			
D_Xylulose_5_phosphate	D-Xylulose 5-phosphate	C00231	0			
D_Glucose_6_phosphate	D-Glucose 6-phosphate	C00092	1			
_3_Phospho_D_glyceroyl_phosphate	3-Phospho-D-glyceroyl phosphate	C00236	0			
CoA	CoA	C00010	0			
CO2	CO2	C00011	1			
D_Ribose_5_phosphate	D-Ribose 5-phosphate	C00117	0			
Glycerone_phosphate	Glycerone phosphate	C00111	0			
D_Glucose	D-Glucose	C00031	1			
D_Fructose_1_6_bisphosphate	D-Fructose 1,6-bisphosphate	C00354	1			
D_Glyceraldehyde_3_phosphate	D-Glyceraldehyde 3-phosphate	C00118	1			
Phosphoenolpyruvate	Phosphoenolpyruvate	C00074	0			
Citrate	Citrate	C00158	0			
Succinyl_CoA	Succinyl-CoA	C00091	0			
_3_Phospho_D_glycerate	3-Phospho-D-glycerate	C00197	0			
D_Glucono_1_5_lactone_6_phosphate	D-Glucono-1,5-lactone 6-phosphate	C01236	0			
D_Fructose_6_phosphate	D-Fructose 6-phosphate	C00085	1			
_2_Phospho_D_glycerate	2-Phospho-D-glycerate	C00631	0			
Succinate	Succinate	C00042	0			
Sedoheptulose_7_phosphate	Sedoheptulose 7-phosphate	C05382	0			
!!SBtab TableName='RateConstant' TableType='Quantity'						
!QuantityType	!Value	!Compound	!Compound:Identifiers:kegg.compound	!Reaction	!Reaction:Identifiers:kegg.reaction	!Unit
equilibrium constant	5.13e+07			PTS_RPTSsy	RPTSsy	-
equilibrium constant	0.366			PGI_R02740	R02740	-
equilibrium constant	1.69e+03			PFK_R04779	R04779	-
equilibrium constant	0.191			ALD_R01070	R01070	-
equilibrium constant	0.109			TIM_R01015	R01015	-
equilibrium constant	0.000369			GAP_R01061	R01061	-
equilibrium constant	1.8e+03			PGK_R01512	R01512	-
equilibrium constant	0.19			PGM_R01518	R01518	-
equilibrium constant	5.15			PGH_R00658	R00658	-
equilibrium constant	2.1e+04			PYK_R00200	R00200	-
equilibrium constant	1.53e+06			PDH_R00209	R00209	-
equilibrium constant	12.7			ZWF_R00835	R00835	-
equilibrium constant	1.97e+04			GLH_R02035	R02035	-
equilibrium constant	12.2			PGD_R01528	R01528	-
equilibrium constant	2.25			RPI_R01056	R01056	-
equilibrium constant	3.87			RPE_R01529	R01529	-
equilibrium constant	4.69			TXT_R01641	R01641	-
equilibrium constant	1.32			TAL_R08575	R08575	-
equilibrium constant	58.4			TXT_R01067	R01067	-
equilibrium constant	4.63e+04			FBP_R00762	R00762	-
equilibrium constant	4.99e+06			CSN_R00351	R00351	-
equilibrium constant	0.0355			ACN_R00351	R00351	-
equilibrium constant	1.32			ACN_R01900	R01900	-
equilibrium constant	97.8			ICD_R00709	R00709	-
equilibrium constant	8.72e+04			KGD_R08549	R08549	-
equilibrium constant	0.585			SCS_R00405	R00405	-
equilibrium constant	5.76e+03			SDH_R02164	R02164	-
equilibrium constant	3.99			FUM_R01082	R01082	-
equilibrium constant	2.06e-05			MDH_R00342	R00342	-
catalytic rate constant geometric mean	337			PTS_RPTSsy	RPTSsy	1/s
catalytic rate constant geometric mean	352			PGI_R02740	R02740	1/s
catalytic rate constant geometric mean	342			PFK_R04779	R04779	1/s
catalytic rate constant geometric mean	350			ALD_R01070	R01070	1/s
catalytic rate constant geometric mean	1.59e+03			TIM_R01015	R01015	1/s
catalytic rate constant geometric mean	208			GAP_R01061	R01061	1/s
catalytic rate constant geometric mean	629			PGK_R01512	R01512	1/s
catalytic rate constant geometric mean	213			PGM_R01518	R01518	1/s
catalytic rate constant geometric mean	219			PGH_R00658	R00658	1/s
catalytic rate constant geometric mean	262			PYK_R00200	R00200	1/s
catalytic rate constant geometric mean	50			PDH_R00209	R00209	1/s
catalytic rate constant geometric mean	259			ZWF_R00835	R00835	1/s
catalytic rate constant geometric mean	676			GLH_R02035	R02035	1/s
catalytic rate constant geometric mean	245			PGD_R01528	R01528	1/s
catalytic rate constant geometric mean	700			RPI_R01056	R01056	1/s
catalytic rate constant geometric mean	417			RPE_R01529	R01529	1/s
catalytic rate constant geometric mean	162			TXT_R01641	R01641	1/s
catalytic rate constant geometric mean	154			TAL_R08575	R08575	1/s
