!!SBtab Document="ecoli_glycolysis" TableName="Position" TableType="Position"
!Element	!PositionX	!PositionY
2_Phospho_D_glycerate	0.307980	0.178521
3_Phospho_D_glycerate	0.308775	0.287972
3_Phospho_D_glyceroyl_phosphate	0.308126	0.396217
ADP	-0.060446	0.716672
ATP	-0.060446	0.554489
Acetyl_CoA	-0.057550	0.035219
CO2	-0.064097	0.187443
CoA	-0.060018	0.122001
D_Glyceraldehyde_3_phosphate	0.307572	0.540724
Glycerone_phosphate	0.453840	0.616550
H2O	0.204685	0.266530
NAD+	-0.060446	0.454903
NADH	-0.060446	0.295565
Orthophosphate	0.115158	0.580097
Phosphoenolpyruvate	0.238330	0.070266
Pyruvate	0.103749	0.123538
D_Fructose_1_6_bisphosphate	0.308775	0.664292
D_Fructose_6_phosphate	0.307572	0.785052
D_Glucose	0.308191	0.994109
D_Glucose_6_phosphate	0.307572	0.886153
PTS	0.308191	0.940759
PGI	0.307572	0.832794
PFK	0.308775	0.728885
FBA	0.308775	0.613742
GAP	0.308053	0.471206
PGK	0.308126	0.339803
PGM	0.307980	0.239683
ENO	0.274779	0.123538
PYK	0.171039	0.095500
PDC	0.033655	0.089893
TIM	0.394596	0.585658
ATPase	-0.060446	0.634158
NADHcons	-0.060446	0.375234
